Problem,,,Constructive Algorithm,,,Local Search,,GRASP,,
Name,|V| or n,|E| or m,Randomized-1,Greedy-1,Semi-Greedy-1,"No. of 
Iterations",Best value,"No. of 
Iterations",Best value,"Best  Known
So far "
set1/g1.rud,800,19176,9590,11270,11143,28,11324,50,11415,12078
set1/g2.rud,800,19176,9606,11264,11119,29,11312,50,11418,12084
set1/g3.rud,800,19176,9601,11261,11178,28,11312,50,11382,12077
set1/g4.rud,800,19176,9585,11279,11167,28,11329,50,11433,
set1/g5.rud,800,19176,9584,11272,11182,29,11322,50,11408,
set1/g6.rud,800,19176,100,1764,1611,34,1831,50,1953,
set1/g7.rud,800,19176,-65,1593,1468,33,1665,50,1726,
set1/g8.rud,800,19176,-81,1615,1456,32,1676,50,1747,
set1/g9.rud,800,19176,-31,1650,1507,35,1717,50,1790,
set1/g10.rud,800,19176,-82,1602,1456,32,1669,50,1767,
set1/g11.rud,800,1600,11,481,444,5,489,50,506,627
set1/g12.rud,800,1600,-5,472,427,5,480,50,498,621
set1/g13.rud,800,1600,17,496,448,5,505,50,524,645
set1/g14.rud,800,4694,2341,2947,2926,22,2961,50,2980,3187
set1/g15.rud,800,4661,2322,2923,2908,24,2939,50,2967,3169
set1/g16.rud,800,4672,2335,2928,2915,24,2944,50,2974,3172
set1/g17.rud,800,4667,2339,2922,2910,27,2939,50,2960,
set1/g18.rud,800,4694,31,837,760,25,869,50,914,
set1/g19.rud,800,4661,-63,751,674,25,784,50,823,
set1/g20.rud,800,4672,-24,783,711,24,813,50,853,
set1/g21.rud,800,4667,-42,770,691,24,800,50,841,
set1/g22.rud,2000,19990,9973,12790,12685,59,12875,50,12966,14123
set1/g23.rud,2000,19990,10002,12788,12621,58,12871,50,12974,14129
set1/g24.rud,2000,19990,9994,12792,12640,58,12874,50,12945,14131
set1/g25.rud,2000,19990,10011,12801,12650,57,12884,50,12959,
set1/g26.rud,2000,19990,9994,12785,12635,59,12869,50,12935,
set1/g27.rud,2000,19990,-15,2690,2500,73,2800,50,2877,
set1/g28.rud,2000,19990,-43,2652,2432,71,2765,50,2850,
set1/g29.rud,2000,19990,45,2748,2553,73,2861,50,2959,
set1/g30.rud,2000,19990,66,2752,2561,72,2860,50,2993,
set1/g31.rud,2000,19990,-31,2669,2444,71,2783,50,2859,
set1/g32.rud,2000,4000,12,1191,1107,12,1213,50,1264,1560
set1/g33.rud,2000,4000,-25,1182,1082,10,1201,50,1226,1537
set1/g34.rud,2000,4000,-26,1175,1088,11,1196,50,1240,1541
set1/g35.rud,2000,11778,5898,7376,7351,59,7416,50,7458,8000
set1/g36.rud,2000,11766,5873,7373,7350,57,7411,50,7441,7996
set1/g37.rud,2000,11785,5894,7385,7357,57,7424,50,7457,8009
set1/g38.rud,2000,11779,5897,7380,7354,60,7419,50,7457,
set1/g39.rud,2000,11778,17,2024,1769,58,2097,50,2148,
set1/g40.rud,2000,11766,-41,2006,1793,61,2087,50,2144,
set1/g41.rud,2000,11785,-5,2014,1799,57,2088,50,2163,
set1/g42.rud,2000,11779,50,2093,1892,59,2168,50,2229,
set1/g43.rud,1000,9990,4992,6384,6286,29,6428,50,6470,7027
set1/g44.rud,1000,9990,4999,6378,6304,30,6418,50,6463,7022
set1/g45.rud,1000,9990,4996,6385,6287,29,6425,50,6485,7020
set1/g46.rud,1000,9990,4999,6385,6291,29,6424,50,6468,
set1/g47.rud,1000,9990,4991,6394,6310,28,6434,50,6484,
set1/g48.rud,3000,6000,3005,6000,6000,1,6000,50,6000,6000
set1/g49.rud,3000,6000,3005,6000,6000,1,6000,50,6000,6000
set1/g50.rud,3000,6000,3009,5880,5858,1,5880,50,5880,5988
set1/g51.rud,1000,5909,2958,3699,3686,28,3719,50,3744,
set1/g52.rud,1000,5916,2963,3703,3688,29,3723,50,3743,
set1/g53.rud,1000,5914,2956,3699,3684,28,3718,50,3743,
set1/g54.rud,1000,5916,2962,3698,3688,28,3716,50,3747,
